csv_schema_version,csv_compatibility_note,analysis_status,analysis_watermark,artifact_path,attempt_id,num_agents,seed,episode_index,termination_reason,used_legacy_metric_fallback,noop_metrics_provenance,noop_metrics_complete,noop_metrics_note,turn_accounting_schema_version,turn_accounting_provenance,turn_accounting_complete,turn_accounting_note,retry_accounting_provenance,retry_accounting_complete,transport_error_reasons_json,legacy_recorded_action_parse_rate,paper_base_percent,paper_coord_percent,paper_total_percent,episode_return,team_unique_base_achievements,team_unique_coord_achievements,team_unique_total_achievements,summed_agent_base_achievements,summed_agent_coord_achievements,summed_agent_total_achievements,coordination_attempts,coordination_resolved_attempts,coordination_successes,give_attempts,successful_transfers,requests,revives,deaths,action_parse_rate,action_parse_success,action_parse_fail,action_parse_skipped_inactive,environment_steps_completed,agent_turns_submitted,alive_agent_turns,actionable_agent_turns,alive_turn_fraction,actionable_turn_fraction,requested_environment_steps,step_completion_fraction,intentional_actionable_noops,parse_fallback_noops,active_action_validation_fallback_noops,active_residual_effective_noops,inactive_billed_turns,inactive_effective_noops,canonical_submitted_noops,effective_environment_noops,executed_noops,input_tokens,cached_input_tokens,uncached_input_tokens,input_cache_fraction,output_tokens,reasoning_tokens,total_tokens,model_call_count,provider_request_count,recovered_transport_retry_count,transport_error_count,summed_model_latency_seconds,input_tokens_per_submitted_turn,input_tokens_per_actionable_turn,total_tokens_per_submitted_turn,total_tokens_per_actionable_turn,delivered_bytes,delivered_bytes_per_submitted_turn,delivered_bytes_per_actionable_turn,episode_wall_seconds,mean_tick_wall_seconds,achievement_base_percent,achievement_coord_percent,achievement_total_percent,completed_agent_turn_capacity,classified_action_turns,survival_fraction,actionable_fraction,input_tokens_per_agent_turn,delivered_bytes_per_agent_turn
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n1/easy/alem/default/default_run_00.json,7d4c07ba22c2455a94d73bb9b574ff00,1,13100,0,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.995,5.069124326109886,,5.069124326109886,11.0,11,,11,11,,11,,,,,,,,0,0.995,199,1,0,200,200,200,200,1.0,1.0,200,1.0,0,1,0,0,0,0,1,1,1,804462,0,804462,0.0,109285,88621,913747,200,200,0,0,953.1355328577338,4022.31,4022.31,4568.735,4568.735,0,0.0,0.0,992.5457636369974,4.9539711524944865,16.66666716337204,,16.66666716337204,200,200,1.0,1.0,4022.31,0.0
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n1/easy/alem/default/default_run_01.json,9652f23a5026459da10024af996a9615,1,13101,1,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},1.0,3.2258063554763794,,3.2258063554763794,6.399999991059303,7,,7,7,,7,,,,,,,,0,1.0,200,0,0,200,200,200,200,1.0,1.0,200,1.0,0,0,0,0,0,0,0,0,0,788783,0,788783,0.0,100414,80003,889197,200,200,0,0,898.0106066021253,3943.915,3943.915,4445.985,4445.985,0,0.0,0.0,933.8481868540403,4.668704077108996,10.606060922145844,,10.606060922145844,200,200,1.0,1.0,3943.915,0.0
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n1/easy/alem/default/default_run_02.json,4d91064b1f5d43afa8c917af7b765e26,1,13102,2,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},1.0,1.8433179706335068,,1.8433179706335068,4.0,4,,4,4,,4,,,,,,,,0,1.0,200,0,0,200,200,200,200,1.0,1.0,200,1.0,0,0,0,0,0,0,0,0,0,716049,0,716049,0.0,69112,49824,785161,200,200,0,0,768.036151938024,3580.245,3580.245,3925.805,3925.805,0,0.0,0.0,802.9372730089817,4.014068801948452,6.060606241226196,,6.060606241226196,200,200,1.0,1.0,3580.245,0.0
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n2/easy/alem/default/default_run_00.json,498bd981562b47d4a30e48501d0ae91e,2,13100,0,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9925,2.76497695595026,3.144654259085655,2.9255319386720657,9.5,6,1,7,9,2,11,20,19,9,5,5,6,0,0,0.9925,397,3,0,200,400,400,400,1.0,1.0,200,1.0,8,3,0,0,0,0,11,11,11,2702423,707840,1994583,0.2619279069190871,223806,176954,2926229,400,400,0,0,1990.0215818320867,6756.0575,6756.0575,7315.5725,7315.5725,20476,51.19,51.19,1410.262820917007,7.034794117734127,9.090909361839294,3.7037037312984467,7.526881992816925,400,400,1.0,1.0,6756.0575,51.19
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n2/easy/alem/default/default_run_01.json,bd693f64b993443a97182b9c5c1e3131,2,13101,1,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9942,9.677419066429138,5.0314463675022125,7.712765783071518,21.849999990314245,13,2,15,18,4,22,6,6,1,2,2,3,0,0,0.994269340974212,347,2,51,200,400,400,349,1.0,0.8725,200,1.0,28,2,0,0,51,51,81,81,81,2158147,707840,1450307,0.32798507237922164,206149,162527,2364296,400,400,0,0,1847.7335715782247,5395.3675,6183.80229226361,5910.74,6774.487106017192,14732,36.83,42.212034383954155,1311.6454667400103,6.557442820605356,19.696970283985138,7.407407462596893,16.129031777381897,400,400,1.0,0.8725,5395.3675,36.83
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n2/easy/alem/default/default_run_02.json,6895b0ec570047ddab73ff86343f7872,2,13102,2,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9975,3.6866359412670135,3.144654259085655,3.4574467688798904,11.5,8,1,9,13,2,15,39,37,1,5,5,11,0,0,0.9975,399,1,0,200,400,400,400,1.0,1.0,200,1.0,14,1,0,0,0,0,15,15,15,2265826,713216,1552610,0.3147708606044771,222029,173443,2487855,400,400,0,0,2004.9675475671538,5664.565,5664.565,6219.6375,6219.6375,23805,59.5125,59.5125,1420.9669496879796,7.103953143783437,12.121212482452393,3.7037037312984467,9.677419066429138,400,400,1.0,1.0,5664.565,59.5125
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n3/easy/alem/default/default_run_00.json,afbde726fa134a85a2c0ec89c9874efb,3,13100,0,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9868,10.138248652219772,11.320754885673523,10.638298839330673,22.599999999006588,14,4,18,28,6,34,29,29,3,2,2,5,0,0,0.986784140969163,448,6,146,200,600,600,454,1.0,0.7566666666666667,200,1.0,3,6,0,0,146,146,155,155,155,3682951,1048320,2634631,0.2846413107315302,347452,281313,4030403,600,600,0,0,3002.132600580866,6138.251666666667,8112.226872246696,6717.338333333333,8877.539647577092,58092,96.82,127.95594713656388,1858.7920286739827,9.270650901978952,21.212121844291687,14.814814925193787,19.354838132858276,600,600,1.0,0.7566666666666667,6138.251666666667,96.82
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n3/easy/alem/default/default_run_01.json,8d26ad9e105440a7ba9aa2ccddb35b1a,3,13101,1,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9891,17.51152127981186,6.28930851817131,12.765958905220032,29.33333334575097,22,2,24,41,4,45,16,16,2,4,4,4,0,1,0.9891500904159132,547,6,47,200,600,597,553,0.995,0.9216666666666666,200,1.0,8,6,0,0,47,47,61,61,61,3681492,1050112,2631380,0.28524087516691604,338560,267609,4020052,600,600,0,0,2873.544516235648,6135.82,6657.309222423147,6700.086666666667,7269.533453887884,72764,121.27333333333333,131.58047016274864,1667.985786381003,8.338782139051764,33.33333432674408,7.407407462596893,25.806450843811035,600,600,0.995,0.9216666666666666,6135.82,121.27333333333333
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n3/easy/alem/default/default_run_02.json,b56bcb022f86406d9073adbee3c6f62b,3,13102,2,environment_terminated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9943,10.138248652219772,0.0,5.851064249873161,13.099999964237213,16,0,16,30,0,30,15,14,0,14,14,24,0,3,0.9943609022556391,529,3,41,191,573,542,532,0.9458987783595113,0.9284467713787086,200,0.955,10,3,0,0,41,41,54,54,54,3244511,1010688,2233823,0.31150703449610745,336013,266547,3580524,573,573,0,0,2833.2165616904385,5662.322862129145,6098.704887218045,6248.732984293194,6730.308270676692,69352,121.03315881326353,130.3609022556391,1599.6554817540455,8.374220780837495,24.242424964904785,0.0,17.204301059246063,573,573,0.9458987783595113,0.9284467713787086,5662.322862129145,121.03315881326353
alem-dice-e1-episodes-csv-v4,Deprecated survival/actionable/input-token/byte aliases are preserved; executed_noops is a deprecated alias for canonical_submitted_noops.,complete,,n4/easy/alem/default/default_run_00.json,20b28e95414c4708b22e14fe21ff199a,4,13100,0,environment_truncated,False,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,alem-dice-turn-accounting-legacy-reconstruction-v1,debug_jsonl_legacy_reconstruction,True,Final raw outputs reparsed with the Source parser; pre-step inactivity shifted from the prior turn's legacy post-step classification; turn zero uses Alem's all-active reset contract.,legacy_aggregate_exact,True,{},0.9847,5.9907834976911545,11.320754885673523,8.244680613279343,15.049999997019768,13,4,17,25,8,33,38,37,5,26,26,32,0,0,0.9846796657381616,707,11,82,200,800,800,718,1.0,0.8975,200,1.0,12,11,0,0,82,82,105,105,105,5411042,1415680,3995362,0.2616279821890128,490221,395297,5901263,800,800,0,0,4271.223377049435,6763.8025,7536.270194986072,7376.57875,8219.029247910863,134742,168.4275,187.66295264623955,2057.9771909959964,10.257304194304451,19.696970283985138,14.814814925193787,18.27957034111023,800,800,1.0,0.8975,6763.8025,168.4275
