contrast,lower_population,higher_population,metric,common_seed_count,common_seeds,mean_difference,ci_low,ci_high,analysis_status,analysis_watermark
n2_minus_n1,1,2,paper_base_percent,3,"13100,13101,13102",1.9969277704755466,-2.304147370159626,6.451612710952759,complete,
n2_minus_n1,1,2,paper_coord_percent,0,,,,,complete,
n2_minus_n1,1,2,paper_total_percent,3,"13100,13101,13102",1.3191652794679005,-2.1435923874378204,4.4869594275951385,complete,
n2_minus_n1,1,2,episode_return,3,"13100,13101,13102",7.149999999751647,-1.5,15.449999999254942,complete,
n2_minus_n1,1,2,team_unique_base_achievements,3,"13100,13101,13102",1.6666666666666667,-5.0,6.0,complete,
n2_minus_n1,1,2,team_unique_coord_achievements,0,,,,,complete,
n2_minus_n1,1,2,team_unique_total_achievements,3,"13100,13101,13102",3.0,-4.0,8.0,complete,
n2_minus_n1,1,2,summed_agent_base_achievements,3,"13100,13101,13102",6.0,-2.0,11.0,complete,
n2_minus_n1,1,2,summed_agent_coord_achievements,0,,,,,complete,
n2_minus_n1,1,2,summed_agent_total_achievements,3,"13100,13101,13102",8.666666666666666,0.0,15.0,complete,
n2_minus_n1,1,2,coordination_attempts,0,,,,,complete,
n2_minus_n1,1,2,coordination_resolved_attempts,0,,,,,complete,
n2_minus_n1,1,2,coordination_successes,0,,,,,complete,
n2_minus_n1,1,2,give_attempts,0,,,,,complete,
n2_minus_n1,1,2,successful_transfers,0,,,,,complete,
n2_minus_n1,1,2,requests,0,,,,,complete,
n2_minus_n1,1,2,revives,0,,,,,complete,
n2_minus_n1,1,2,deaths,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,action_parse_rate,3,"13100,13101,13102",-0.0035768863419292827,-0.005730659025787954,-0.0024999999999999467,complete,
n2_minus_n1,1,2,action_parse_success,3,"13100,13101,13102",181.33333333333334,147.0,199.0,complete,
n2_minus_n1,1,2,action_parse_fail,3,"13100,13101,13102",1.6666666666666667,1.0,2.0,complete,
n2_minus_n1,1,2,action_parse_skipped_inactive,3,"13100,13101,13102",17.0,0.0,51.0,complete,
n2_minus_n1,1,2,environment_steps_completed,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,agent_turns_submitted,3,"13100,13101,13102",200.0,200.0,200.0,complete,
n2_minus_n1,1,2,alive_agent_turns,3,"13100,13101,13102",200.0,200.0,200.0,complete,
n2_minus_n1,1,2,actionable_agent_turns,3,"13100,13101,13102",183.0,149.0,200.0,complete,
n2_minus_n1,1,2,alive_turn_fraction,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,actionable_turn_fraction,3,"13100,13101,13102",-0.04249999999999998,-0.12749999999999995,0.0,complete,
n2_minus_n1,1,2,requested_environment_steps,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,step_completion_fraction,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,intentional_actionable_noops,3,"13100,13101,13102",16.666666666666668,8.0,28.0,complete,
n2_minus_n1,1,2,parse_fallback_noops,3,"13100,13101,13102",1.6666666666666667,1.0,2.0,complete,
n2_minus_n1,1,2,active_action_validation_fallback_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,active_residual_effective_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,inactive_billed_turns,3,"13100,13101,13102",17.0,0.0,51.0,complete,
n2_minus_n1,1,2,inactive_effective_noops,3,"13100,13101,13102",17.0,0.0,51.0,complete,
n2_minus_n1,1,2,canonical_submitted_noops,3,"13100,13101,13102",35.333333333333336,10.0,81.0,complete,
n2_minus_n1,1,2,effective_environment_noops,3,"13100,13101,13102",35.333333333333336,10.0,81.0,complete,
n2_minus_n1,1,2,executed_noops,3,"13100,13101,13102",35.333333333333336,10.0,81.0,complete,
n2_minus_n1,1,2,input_tokens,3,"13100,13101,13102",1605700.6666666667,1369364.0,1897961.0,complete,
n2_minus_n1,1,2,cached_input_tokens,3,"13100,13101,13102",709632.0,707840.0,713216.0,complete,
n2_minus_n1,1,2,uncached_input_tokens,3,"13100,13101,13102",896068.6666666666,661524.0,1190121.0,complete,
n2_minus_n1,1,2,input_cache_fraction,3,"13100,13101,13102",0.30156127996759524,0.2619279069190871,0.32798507237922164,complete,
n2_minus_n1,1,2,output_tokens,3,"13100,13101,13102",124391.0,105735.0,152917.0,complete,
n2_minus_n1,1,2,reasoning_tokens,3,"13100,13101,13102",98158.66666666667,82524.0,123619.0,complete,
n2_minus_n1,1,2,total_tokens,3,"13100,13101,13102",1730091.6666666667,1475099.0,2012482.0,complete,
n2_minus_n1,1,2,model_call_count,3,"13100,13101,13102",200.0,200.0,200.0,complete,
n2_minus_n1,1,2,provider_request_count,3,"13100,13101,13102",200.0,200.0,200.0,complete,
n2_minus_n1,1,2,recovered_transport_retry_count,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,transport_error_count,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n2_minus_n1,1,2,summed_model_latency_seconds,3,"13100,13101,13102",1074.5134698598606,949.7229649760993,1236.9313956291298,complete,
n2_minus_n1,1,2,input_tokens_per_submitted_turn,3,"13100,13101,13102",2089.84,1451.4525000000003,2733.7475,complete,
n2_minus_n1,1,2,input_tokens_per_actionable_turn,3,"13100,13101,13102",2352.6515974212034,2084.3199999999997,2733.7475,complete,
n2_minus_n1,1,2,total_tokens_per_submitted_turn,3,"13100,13101,13102",2168.4750000000004,1464.755,2746.8375,complete,
n2_minus_n1,1,2,total_tokens_per_actionable_turn,3,"13100,13101,13102",2456.390702005731,2293.8325,2746.8375,complete,
n2_minus_n1,1,2,delivered_bytes,3,"13100,13101,13102",19671.0,14732.0,23805.0,complete,
n2_minus_n1,1,2,delivered_bytes_per_submitted_turn,3,"13100,13101,13102",49.1775,36.83,59.51250000000001,complete,
n2_minus_n1,1,2,delivered_bytes_per_actionable_turn,3,"13100,13101,13102",50.97151146131805,42.212034383954155,59.51250000000001,complete,
n2_minus_n1,1,2,episode_wall_seconds,3,"13100,13101,13102",471.18133794832585,377.79727988597006,618.0296766789979,complete,
n2_minus_n1,1,2,mean_tick_wall_seconds,3,"13100,13101,13102",2.353148683523662,1.8887387434963605,3.089884341834986,complete,
n3_minus_n1,1,3,paper_base_percent,3,"13100,13101,13102",9.216589977343878,5.069124326109886,14.28571492433548,complete,
n3_minus_n1,1,3,paper_coord_percent,0,,,,,complete,
n3_minus_n1,1,3,paper_total_percent,3,"13100,13101,13102",6.372357780734698,4.0077462792396545,9.540152549743652,complete,
n3_minus_n1,1,3,episode_return,3,"13100,13101,13102",14.544444439311823,9.099999964237213,22.933333354691666,complete,
