condition,num_agents,replicates,requested_steps,total_team_return,total_team_return_min,total_team_return_max,summed_total,summed_total_min,summed_total_max,provenance
baseline,1,3,200,7.133333330353101,4.0,11.0,7.333333333333333,4.0,11.0,e1_source_scaling_seeds_13100_13101_13102
baseline,2,3,200,28.566666660209496,19.0,43.69999998062849,16.0,11.0,22.0,e1_source_scaling_seeds_13100_13101_13102
baseline,3,3,200,65.03333330899477,39.29999989271164,88.0000000372529,36.333333333333336,30.0,45.0,e1_source_scaling_seeds_13100_13101_13102
baseline,4,3,200,81.49999998509884,60.19999998807907,101.19999998807907,42.333333333333336,33.0,48.0,e1_source_scaling_seeds_13100_13101_13102
baseline,6,3,200,71.2999999821186,23.799999997019768,103.60000000149012,42.333333333333336,24.0,58.0,e1_source_scaling_seeds_13100_13101_13102
baseline,8,1,200,61.80000002682209,61.80000002682209,61.80000002682209,56,56,56,matched_seed_14100
team_formation,8,1,200,76.0,76.0,76.0,51,51,51,matched_seed_14100
baseline,16,1,200,97.19999996572733,97.19999996572733,97.19999996572733,87,87,87,matched_seed_14100
team_formation,16,1,200,162.7000001743436,162.7000001743436,162.7000001743436,114,114,114,matched_seed_14100
baseline,32,1,200,160.9999999627471,160.9999999627471,160.9999999627471,143,143,143,matched_seed_14100
team_formation,32,1,200,223.49999982863665,223.49999982863665,223.49999982863665,166,166,166,matched_seed_14100
